"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","The next question is from the line of Scott Ciccarelli with Truist.",12,"The next question is from the line of Scott Ciccarelli with Truist."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Analysts","I guess a bit of a follow-up on that question. As you guys hold down prices despite higher procurement costs to drive price gaps, are you seeing any kind of competitive response? Or do you find you're almost competing against yourself because other compan",54,"I guess a bit of a follow-up on that question. As you guys hold down prices despite higher procurement costs to drive price gaps, are you seeing any kind of competitive response? Or do you find you're almost competing against yourself because other companies just can't hold down prices the way you can?"
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Around the world, Scott, retailers are all having to manage this. And we talk about price gaps, our price leadership position for a reason because prices are relative and it's more fluid in an inflationary environment like this. So we have to spend more o",215,"Around the world, Scott, retailers are all having to manage this. And we talk about price gaps, our price leadership position for a reason because prices are relative and it's more fluid in an inflationary environment like this. So we have to spend more of our time paying attention to that. do mix across categories. We think about things like opening price points and protecting for a lower income family some of the things that they need from a staples point of view. And then as John mentioned, we use rollbacks to communicate not only the reality of prices are coming down at some places, but the emotion or perception we want customers to have about us being there for them and earning their trust during a period of time like this. So I wouldn't say that we're unique in having to work through that. Of course, everybody is. But we are likely a bit unique with the depth of experience that we have and the talent of our team to be able to manage it and our long-standing supplier relationships and the way we work with them to try and help them get through the situation as well. The amount of communication between us and suppliers is always high. It's particularly high right now."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","It is in I just refer to things that we said in the past. A merchant here has so many levers between mix in categories, what they feature on the home page this morning at the top of the home page is a section on rollbacks. They can change that, they can c",131,"It is in I just refer to things that we said in the past. A merchant here has so many levers between mix in categories, what they feature on the home page this morning at the top of the home page is a section on rollbacks. They can change that, they can change modes, they can change features. There are just so many things that they can do to manage mix over time that it puts our team into a good position to do this. We've got experienced people who know how to do this. And we have a number of associates here in the U.S. have worked in other markets where inflation is quite common, and that's really been helpful this last year to have that expertise inside the business."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","Our next question is from the line of Christopher Horvers with JPMorgan.",12,"Our next question is from the line of Christopher Horvers with JPMorgan."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Analysts","I wanted to take a shot at some of the comp questions that have been asked prior. You talked about 1% and 2% in the U.S. in the first quarter, sort of 3s in 2Q and 3Q. That would suggest you accelerate roughly 4 in the fourth quarter. So I guess my questi",133,"I wanted to take a shot at some of the comp questions that have been asked prior. You talked about 1% and 2% in the U.S. in the first quarter, sort of 3s in 2Q and 3Q. That would suggest you accelerate roughly 4 in the fourth quarter. So I guess my question is you'll be going again sort of peak food-at-home inflation, some elevated SAP benefits. So I want to get into like sort of how you're thinking about getting there. Do you expect any deflation to occur expect share gains in grocery to accelerate as some of your customer base sort of seeks out more value? And then embedded in that, is that -- is there accelerated growth in general merchandise as you fill out the assortment and the fulfillment options?"
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Christopher say a couple of things regarding the question. A lot of the phasing that are in the forecast definitely include strong customer demand. They include better inventory positions. We talked about inventory in total being up 28% with a considerabl",139,"Christopher say a couple of things regarding the question. A lot of the phasing that are in the forecast definitely include strong customer demand. They include better inventory positions. We talked about inventory in total being up 28% with a considerable amount of that, that is in transit on the way, which does include general merchandise. But also has a reflection of what we believe would be better in-stock positions in food and consumables. Now the quarterly phasing also has the lapping of stimulus last year. in the month we're in, we had a large ice storm last year in Texas. And then in the months of March and April, we had stimulus that was significant. So it does reflect that across the quarters, and I don't think I'd add anything else to that, Brett, unless you have anything."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","No, I'd say, Chris, as you can imagine, the quarterly phasing is more challenging than normal just given the comparisons that we're up against. But I think, as John said, there's a number of different things during the year that make us feel confident in",86,"No, I'd say, Chris, as you can imagine, the quarterly phasing is more challenging than normal just given the comparisons that we're up against. But I think, as John said, there's a number of different things during the year that make us feel confident in the total year. And we've given you as good as we feel like we can today and where we think it will stack up for the quarters. But it's -- there's going to be some quarterly variability certainly during the year."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","Thank you. We have reached the end of the question-and-answer session. I'll now turn the call over to Doug McMillon for closing remarks.",23,"Thank you. We have reached the end of the question-and-answer session. I'll now turn the call over to Doug McMillon for closing remarks."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Thanks again for your time and attention. I'd just summarize by saying it's great to have momentum in all 3 segments as we start this year. I think it's clear that we're changing to serve customers and members in the way that they want to be served and ha",142,"Thanks again for your time and attention. I'd just summarize by saying it's great to have momentum in all 3 segments as we start this year. I think it's clear that we're changing to serve customers and members in the way that they want to be served and having stores and in eCommerce business, pick up, delivery, fulfillment centers and marketplace, all of those things are helpful as it relates to that. And the great thing about it is the way that we're building these and designing them is that the company can grow earnings and grow the bottom line while we're doing it. The business model changes and it enables the customer, a member to benefit and our business to benefit at the same time. 
So I'm excited about the short-term momentum and looking forward to the year. Thank you, all."
313055,1770360180,2497225,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","Thank you. This concludes today's conference. You may disconnect your lines at this time. Thank you for your participation.",19,"Thank you. This concludes today's conference. You may disconnect your lines at this time. Thank you for your participation."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","Greetings. Welcome to Walmart's Fiscal Year '22 Fourth Quarter Earnings Call. [Operator Instructions] Please note this conference is being recorded.  At this time, I'll now turn the conference over to Dan Binder, Senior Vice President, Investor Relation",42,"Greetings. Welcome to Walmart's Fiscal Year '22 Fourth Quarter Earnings Call. [Operator Instructions] Please note this conference is being recorded.  
At this time, I'll now turn the conference over to Dan Binder, Senior Vice President, Investor Relations. Dan, you may now begin."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Thank you, Rob. Good morning, and welcome to Walmart's Fourth Quarter Fiscal 2022 Earnings Call. I'm joined by members of our executive team, including Doug McMillon, Walmart's President and CEO; Brett Biggs, Executive Vice President and Chief Financial O",184,"Thank you, Rob. Good morning, and welcome to Walmart's Fourth Quarter Fiscal 2022 Earnings Call. I'm joined by members of our executive team, including Doug McMillon, Walmart's President and CEO; Brett Biggs, Executive Vice President and Chief Financial Officer; and John Furner, President and CEO of Walmart U.S. In a few moments, Doug and Brett will provide you an update on the business and discuss fourth quarter and full year results. That will be followed by our question-and-answer session.  
Before I turn the call over to Doug, let me remind you that today's call is being recorded and will include forward-looking statements. These statements are subject to risks and uncertainties that could cause actual results to differ materially from these statements. These risks and uncertainties include but are not limited to the factors identified in our filings with the SEC. Please review our press release and accompanying slide presentation for a cautionary statement regarding forward-looking statements as well as our entire safe harbor statement and non-GAAP reconciliations on our website at stock.walmart.com.  
It's now my pleasure to turn the call over to Doug McMillon."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Good morning, and thanks for joining us to hear about our fourth quarter results. Let's jump right in. Our team delivered net sales growth of 7.6% and adjusted EPS growth of 9.3% excluding divestitures. We continued to gain market share in food and consum",1996,"Good morning, and thanks for joining us to hear about our fourth quarter results. Let's jump right in. Our team delivered net sales growth of 7.6% and adjusted EPS growth of 9.3% excluding divestitures. We continued to gain market share in food and consumables in the U.S., and comp transactions were positive. Consumer demand during the quarter was strong, and the team overcame a number of challenges in the U.S. and around the world to deliver these strong results.  
Going into the quarter, we were confident that we had the people, the products and the prices to deliver and we did. Our inventory position improved, and we delivered high sell-throughs in seasonal categories across markets. Food, consumables and apparel were also strong globally. We comped low single digits in general merchandise in the U.S. against strong results last year. And Sam's Club saw broad-based strength across categories in the U.S. and in China. Our merchants are doing a nice job of navigating the pressure from cost of goods inflation with our customers and shareholders in mind.  
I like how we're mixing out the business. Consolidated gross profit rate increased 10 basis points for the quarter, including more than 50 basis points in Walmart U.S. We're working closely with our suppliers to manage inflation, finding a few places where we can roll back prices, and we're paying close attention to how we manage our opening price point items. Q4 and the full year are proof points that we can keep our price gaps in the range where we want them, grow market share and deliver against our top and bottom line growth algorithm.  
Our associates did an amazing job of serving customers and members during this busy season even as we faced Omicron and supply chain challenges. This quarter's COVID leave peak was larger than anything we had experienced in 2020 or previously in 2021. We hired more associates than our plan called for to help fill that gap, which negatively impacted expenses but it was clearly needed. I'm grateful to our associates and store and club management teams for how they set priorities on behalf of our customers and members during the quarter. 
As I visit stores and clubs, it's inspiring to see how our team is navigating such a fluid environment. They're delivering tremendous growth while making significant progress against our longer-term strategy. During the fiscal year just ended, excluding divestitures, we grew net sales by 9%, grew operating profit by 18%, invested $13 billion in CapEx to grow our business, returned $16 billion to shareholders via share buybacks and dividends, grew our advertising business globally to $2.1 billion and took important steps to build our U.S. financial services capabilities with agreements to make 2 key acquisitions. 
Sometimes it feels like 2020 and 2021 were just 1 long year. If you look at growth since the beginning of fiscal '21 through the end of fiscal '22, excluding divestitures, our company is about 17% larger in terms of revenue, 31% larger in terms of operating income. And globally, our percentage of digital sales grew from 6% to 13%. As the company grows, we're fueled by the new business model and flywheel we outlined last year. Our strategy is coming to life.  
Ensuring that we deliver our strategy is where I invest the majority of my time. It starts with the customer and earning primary destination. The big-basket stock-up trip is important. It's foundational to our relationship with families. We earn that shopping occasion by running great stores and clubs and offering seamless pickup and delivery experiences, including for our Walmart+ and InHome members in the U.S. Our membership offering, Walmart+, continues to be an important piece of what we're building. 
We're adding capacity for pickup and delivery. We increased capacity by nearly 20% last year, and we expect to increase capacity by another 35% this year. For Walmart InHome, we recently announced an expansion of this membership service to make it available to about 30 million homes in the U.S., up from 6 million. To enable the expansion, we're creating roles for more than 3,000 associate delivery drivers. The majority of these roles will be filled by existing experienced associates. We'll be building out a fleet of all electric delivery vans to support our delivery services and our goal of a 0 emissions logistics fleet by 2040.  
Our flywheel is designed to serve families more broadly, deepening our relationship with them and creating a healthy mix of merchandise and services for our business. Recently, we shared some news about our fintech start-up in the U.S. that will operate under the ONE brand going forward. The combined talent of our JV leadership team and out of the pending acquisitions of ONE Finance and Even is impressive, and our plans are aggressive. We can help our customers and Walmart+ members save money, have an experience with less friction and help strengthen the financial position for millions of families.  
As with our advertising business, our financial services capabilities cross borders. Our PhonePe business in India is growing incredibly fast, and we have strong capabilities in Mexico, which is such an important market for us.  
As we look to improve the customer experience and strengthen the mix of our business, expanding our Marketplace is important. We added more than 20,000 new sellers to the platform in the U.S. last year and expect to add nearly 40,000 more this year. We're now up to nearly 170 million SKUs, and we're adding more every day. We opened up our U.S. Marketplace to sellers from India and created a dedicated team there to help sellers onboard and grow. 
Many sellers are looking to diversify their business, and they're pushing us to add capabilities, including the expansion of our fulfillment services. We grew our U.S. GMV delivered by our fulfillment services by 500% last year. We expect the robust growth will continue this year as we add more capacity. For Q4, our fulfillment services represented 44% of total Marketplace orders in India and 22% in Mexico.  
Growing our Marketplace expands choice for our customers, helps our sellers grow and enhances our profit margins. Our plan for this year includes strengthening the experience for sellers and adding fulfillment capacity so customers have access to more items faster. It's clear to me that we have years of profitable Marketplace and fulfillment services growth ahead of us.  
Staying on the theme of fulfillment and scaling new businesses, we recently launched Walmart GoLocal, a last-mile delivery solution using our Spark Driver platform to help businesses of all sizes to reach more customers. GoLocal is making deliveries for The Home Depot and other large retailers, but I'm most excited about serving small local retailers. We have nearly 1,000 GoLocal service pickup points, and we expect to end this year closer to 5,000. This is good for customers, our clients and for us as we lower the cost per order by increasing the combined order size and the route density.  
As we bring more customers, sellers and suppliers into our ecosystem, it expands our ability to monetize those relationships. A great example is our advertising business. Globally, it's been growing at a high rate with high margins and is now a $2.1 billion business in only a few years, and we expect this strong growth to continue. 
And as our eCommerce business, including Marketplace, continues to grow, so will our advertising business. We're taking the learnings from the U.S. and India and growing in places like Mexico, Canada and Chile. Importantly, we're beginning to build tech platforms that can be leveraged in multiple countries. Our strong team of technologists and our digital transformation enable global synergies.  
We see traction in our core business as well as in our newer businesses. There's real power in the ability to make these pieces mutually reinforcing, to design them such that one portion of a customer relationship leads them to another because it's easy and intuitive. Connecting B2B opportunities like advertising enables us to grow earnings and make key investments at the same time. Because of how the flywheel is coming together, I feel great about our ability to deliver against the growth algorithm we discussed last year of about 4% top line growth and operating income growth rates higher than sales. 
We've highlighted the increased costs we had in Q4 from COVID, supply chain and wages. And some of these costs are likely to continue through part of this year, but I feel confident in the underlying strength of the business and our ability to deliver the growth we expect. The Walmart we're building is becoming more impactful for our customers and members, more digital, more automated and more diversified on the top and bottom lines.  
Now let's move on to our performance by operating segment. I'll begin with Walmart U.S. The team had a great holiday season. They drove comp sales of 5.6%. You know about our strength in food and consumables, but despite the supply chain challenges, the seasonal hardlines execution for holiday looked good in stores. We're continuing to navigate cost pressures and in-stock challenges, but overall, I'm really proud of the team for delivering the holiday season. And I believe we'll work our way to an improved in-stock level through the course of the year.  
Building a seamless omnichannel experience for customers and prioritizing convenience for them is critical. Our stores have become hybrid. They're both stores and fulfillment centers. Last year, we increased the number of orders coming from our stores by 170% versus the previous year, and that's on top of more than 500% from the year before. Having inventory so close to so many customers is a competitive advantage. In some cases, we're getting items to customers in hours rather than days.  
In Sam's Club U.S., the momentum continues. Sales and membership were strong. Excluding fuel and tobacco, comps were 10.8% for the quarter and nearly 26% on a 2-year stack. Membership income grew 9.1%, driven by membership count, which reached another record high during the quarter. The team leveraged operating expenses and grew operating income 24% excluding fuel. They had another fantastic quarter and year. Sam's continues to drive digital innovation and add capabilities. Our Bold & Blue club remodels and our strengthened pickup and delivery services will drive growth.  
At Walmart International, we had another strong year with good progress in all aspects of the flywheel Overall, sales were strong again in Q4 with growth of 9.8% in constant currency excluding divestitures. China, Mexico and Flipkart led the way. Our 21% eCommerce penetration is a new record and up nearly 400 basis points from last year. 
We get to serve a spectrum of holidays and festivals during the holiday quarter, from Diwali and Big Billion Days in India through to preparation for Chinese New Year. During Big Billion Days, 40% of sellers were first-time sellers on the Marketplace, and more than 100,000 kiranas participated by making last-mile deliveries. This is strong inclusive growth.  
While our omnichannel model gives the gift of time, access and affordability remain important. We're expanding our ecosystem, and we've made investments in areas such as health care, marketplace, telecommunications and our online food business. A few great examples include the launch of  Flipkart Health+ that aims to increase access to affordable care in India and the acquisition of  Foodmaestro in Canada to build more personalized shopping experiences for customers. And BAIT, our value-based Internet and telephone service that enables customers in Mexico to enjoy digital connectivity, surpassed 2 million members.  
It's great to see all 3 of our operating segments doing so well. I'm grateful to our strong and capable leadership team and to all of our associates. We've had an incredible couple of years during these challenging times. We have momentum in the business. We have aggressive plans, and we're executing on the strategy. It still feels like we're just getting started.  
I'll now turn it over to Brett."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Thanks, Doug. We wrapped up another great year with a strong fourth quarter and good momentum as we start the new year. Over the last couple of years, each quarter has presented unique challenges but I'm proud of how we've navigated each one of those. The",1944,"Thanks, Doug. We wrapped up another great year with a strong fourth quarter and good momentum as we start the new year. Over the last couple of years, each quarter has presented unique challenges but I'm proud of how we've navigated each one of those. The fourth quarter was no different as we faced the rise of Omicron with its impact on the supply chain and our associates. This resulted in some significant unexpected expenses, but despite that, we delivered the top and bottom line results we expected.  
We continue to execute on our strategic initiatives to fulfill the vision we outlined last February. U.S. flywheel is accelerating and is evident through initiatives like our pending fintech JV acquisitions, the launch of a new data business and acceleration of last-mile delivery. Sam's growth in membership income has been strong throughout the year as we expand omni options, including Club Pickup. These and other key initiatives represent large revenue and profit opportunities over the next few years.  
For the full year, we had record sales of $568 billion with increased traffic to stores and clubs while eCommerce penetration approached 13%. Walmart U.S. grew sales by more than $23 billion and saw strong market share gains in food and consumables. Over the past 2 years, our U.S. segments have grown sales by $67 billion or 17% and operating income by 25%.  
Now let's discuss Q4 results. As a reminder, the previously announced international divestiture significantly affect year-over-year comparisons so my comments today will exclude the effect of divestitures. Total constant-currency revenue grew 7.9% to over $153 billion and reached another important milestone with quarterly net sales exceeding $150 billion. 
Consolidated gross margin rate increased 5 basis points with Walmart U.S. gross margin rate increasing by a healthy 54 basis points, reflecting primarily price management resulting from cost increases and mix along with benefits from a growing advertising business, partially offset by higher supply chain costs. Supply chain costs were over $400 million higher than expected, but we expect some of those costs to abate over time. International gross margin rates were lower due primarily to format mix. 
SG&A expenses deleveraged 19 basis points as increased U.S. wage costs were partially offset by strong sales and lower COVID costs versus last year. Although COVID costs were lower than last year, we had significantly higher associate leave costs in the U.S. than anticipated. In the first 3 quarters combined, COVID leave costs were about $600 million but increased over $450 million just in Q4, presenting an unexpected headwind of over $300 million. Despite these expense challenges, adjusted operating income increased more than 6% and EPS increased more than 9%. 
We're in a great financial position, enabling us to allocate capital towards both growth and shareholder returns. Free cash flow was $11.1 billion for the year, down versus last year due primarily to inventory build throughout the year, higher CapEx and cost increases. We increased share repurchases significantly this year with buybacks of just under $10 billion, a pace we plan to continue or increase in the coming year given our view of the long-term value of the company. In addition, we announced the 49th consecutive annual dividend increase this morning. ROI increased 90 basis points to just under 15%, the best level in 5 years due primarily to growth in operating income.  
Now let's discuss the quarterly results for each segment. Walmart U.S. had its first ever $100 billion-plus sales quarter with sales of $105 billion. Comp sales grew 5.6%, up more than 14% on a 2-year stack. We continue to grow grocery market share as food comps increased high single digits while health and wellness, apparel, seasonal and automotive categories were also strong. Transactions were up more than 3% despite COVID pressures. 
eCommerce sales grew 1% against strong gains last year, resulting in a 70% 2-year stack. We continue to see elevated levels of cost inflation and have taken prudent steps to manage pricing while having slightly wider price gaps than pre pandemic. We have a good balance of growing market share while managing price with both customers and shareholders in mind. 
We continue to make strong progress in some of our newer higher-margin initiatives. Walmart Connect advertising experienced robust sales growth this year with a strong pipeline of new advertisers and large growth opportunities ahead. In fact, the number of active advertisers using Walmart Connect grew more than 130% year-over-year. And about half of the ad sales came from automated channels in Q4, more than double last year. We expect Walmart Connect to continue to scale over the next few years with plans to become a top 10 ad business in the midterm.  
Growing eCommerce Marketplace at WFS have been a priority over the past couple of years as we've invested to expand fulfillment capacity, introduce new services for sellers and double the number of items available for customers. In fact, we expect to have over 200 million items in our eCommerce assortment by the end of the year. The expansion of WFS has also been a key unlock in bringing more sellers to Walmart's Marketplace.  
Customers increasingly want home delivery, and we had a sixfold increase in delivery in the fourth quarter versus pre-pandemic levels. We continue expanding capabilities, including announcing the acceleration of InHome delivery to 30 million households by year-end. We also announced our new fintech business, ONE, in January with the pending acquisitions of fintech platforms One Finance and Even.  
SG&A expenses deleveraged 95 basis points as increased wage costs were partially offset by strong sales and lower total COVID-related expenses year-over-year. Still, as I mentioned earlier, COVID leave costs were much higher than expected. Operating income grew slightly, aided by strong margins as well as solid growth in membership and other income. Inventory increased about 28% overall, including higher cost of goods due to inflation, mix and higher-than-normal in-transit shipments, reflecting continued efforts to improve in-stock.  
International sales were strong, up nearly 10%, led by China, Mexico and Flipkart as seasonal events, omni growth and good inventory position contributed to results. eCommerce sales in constant currency grew 21% on top of strong gains last year with growth of more than 75% on a 2-year stack. China comps increased nearly 20% in constant currency with continued strength from Sam's Clubs as well as more than 90% growth in eCommerce sales. Comp sales in Mexico increased nearly 8% and grew faster than the market according to ANTAD.  
Flipkart had another good sales quarter, aided by strong holiday events and favorable trends in monthly active customers and users. We're also pleased with the strong growth of PhonePe with TPV of more than 130% versus last year, with a current run rate of $650 billion. In Canada, comp sales were up 4.6%, led by in-store shopping, and comps increased more than 13% on a 2-year stack. International adjusted operating income in constant currency increased nearly 3%, reflecting lower COVID costs, partly offset by gross margin rate decrease related to higher sales penetration from Sam's China and eCommerce. For the full year, International adjusted operating income grew 12.7%, and we feel confident about our international business as we head into the new year.  
Sam's Club had another impressive quarter with comps up 10.8% excluding fuel and tobacco, an increase of nearly 26% on a 2-year stack. Transactions increased 7% and ticket was up 3.2%. eCommerce sales grew 21%, and we expanded the rollout of delivery capabilities of digital orders to nearly all clubs during the quarter. Sam's is leveraging Walmart's GoLocal last-mile delivery service to provide more convenience to members. Membership income was up more than 9% with another record in member counts and strong Plus penetration. Operating income was up 41% as higher fuel and membership income as well as strong expense leverage were partially offset by gross margin pressure from inflation and supply chain costs.  
Now let's turn to guidance. We feel very good about the underlying strength of the business and believe we can deliver full year growth in FY '23 that aligns with the growth algorithm we discussed last year. As you saw in Q4, we're still challenged with increased costs related to COVID and supply chain disruptions. Our guidance assumes that we will see some relief from that as the year progresses and that the U.S. consumer remains in a generally favorable economic position throughout the year.  
The comparisons against last year are unique primarily due to the timing of international divestitures and U.S. stimulus in FY '22. As a reminder, the divestitures of our businesses in the U.K. and Japan were completed near the end of the first quarter last year, contributing about $5 billion in sales and about $0.07 of EPS in Q1 FY '22. Our guidance will be ex divestitures.  
We expect total company sales to increase about 4% with Walmart U.S. comp sales slightly above 3% for the year. Given the timing of stimulus overlaps, we expect about a 1% to 2% comp sales increase from Walmart U.S. in the first quarter followed by somewhat higher comp sales growth throughout the remainder of the year. We expect FY '23 total company operating income to increase at a rate slightly higher than sales growth and EPS to grow 5% to 6% versus FY '22 adjusted EPS due in part to our aggressive share repurchase program. 
The quarterly profit growth cadence is expected to be quite variable due to last year's U.S. stimulus as well as lapping wage investments initiated in February and September 2021. As you would expect, the variability of the quarters looks less extreme when viewed on a 2-year stack. We expect Q1 operating income and EPS to be down low double digits to low teens as we cycle the stimulus effects from last year that resulted in nearly 30% operating income growth as well as increased wages this year. 
On a 2-year stack, Q1 operating income would still be up a mid-teens percentage. Q2 and Q3 operating income and EPS are expected to increase at low to mid-single-digit rates as year-over-year comparisons ease due in part to the moderation of stimulus benefits last year. We expect higher growth rates in the back half of the year as we fully cycle wage investments, resulting in fourth quarter operating income and EPS increasing by a high-teens percentage. Q4 operating income will also benefit from some timing versus FY '22, particularly in international as well as cycling elevated COVID leave costs in FY '22. 
Our effective tax rate is expected to increase to 25% to 26% due primarily to earnings mix. For the year, we expect gross margin rates to increase due to pricing, mix and new business initiatives, although there will be variability quarter-to-quarter as is usually the case. For the first time in a while, we expect some expense deleveraging as we continue to see elevated supply chain, wage and tech costs. We'll continue the multiyear journey of accelerated capital investment focused on increasing fulfillment capacity, automation and technology to enhance productivity. 
FY '22 CapEx was about $13.1 billion, lower than anticipated due to timing of projects impacted by supply chain challenges. Due to that and continued investment in strategic priorities, we anticipate this year's CapEx being at the upper end of the guidance we gave last year of 2.5% to 3% of sales.  
In closing, I'm really pleased with our FY '22 results and very confident as I look to this year and to the future. The company is in an enviable position to serve customers and members and also to achieve our financial goals, benefiting shareholders.  
Now we'd be happy to take your questions."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","[Operator Instructions] And our first question is from Steph Wissink with Jefferies.",12,"[Operator Instructions] And our first question is from Steph Wissink with Jefferies."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Analysts","I'd like to double-click on one of the comments you made in your remarks regarding elevated levels of inflation. And I think you signaled that you are seeing slightly wider price gaps versus pre pandemic. Can you maybe give us some sense of how much infla",71,"I'd like to double-click on one of the comments you made in your remarks regarding elevated levels of inflation. And I think you signaled that you are seeing slightly wider price gaps versus pre pandemic. Can you maybe give us some sense of how much inflation you're observing real time, how much those price gaps have widened and then what your expectations are for the quarters as the year progresses?"
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Steph, this is John with Walmart U.S. First, I just want to appreciate our teams for all they delivered in the last quarter. The $105 billion sales number has been impressive given all the challenges they have. And I just want to thank the teams for every",191,"Steph, this is John with Walmart U.S. First, I just want to appreciate our teams for all they delivered in the last quarter. The $105 billion sales number has been impressive given all the challenges they have. And I just want to thank the teams for everything they've been doing the last couple of years.  
When it comes to pricing, we really take a long-term view on this, and we manage pricing for both customers and shareholders. We're constantly monitoring our share -- our price gaps to competitors, and we'll continue to do that as we move forward. 
And then what we're seeing right now is not only gaps that we're proud of that are valuable for our customers, but we're also seeing the opportunity to increase some of our rollbacks in stores, and we're really proud of the team. We're seeing about the same number of rollbacks now that we had at the end of Q1 last year. So while we have supply chain challenges and other costs coming through, the teams are doing a nice job managing mix and pricing and looking after both our customers and our shareholders."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Operator","Our next question comes from the line of Bob Drbul with Guggenheim Securities.",13,"Our next question comes from the line of Bob Drbul with Guggenheim Securities."
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Analysts","Just a couple of quick questions. The first one really -- thanks for giving us the advertising piece. Can you just elaborate a little bit more just on the growth that you've experienced to get to the $2 billion number and just how quickly you do expect th",80,"Just a couple of quick questions. The first one really -- thanks for giving us the advertising piece. Can you just elaborate a little bit more just on the growth that you've experienced to get to the $2 billion number and just how quickly you do expect that to ramp? And given the fact that you gave us the $2 billion number, Doug, would you be willing to give us how many people have signed up for the Walmart+ membership?"
313055,1770360180,2497512,"Walmart Inc., Q4 2022 Earnings Call, Feb 17, 2022",2022-02-17,"Earnings Calls","Walmart Inc.","Executives","Bob, you got one and you want both. That doesn't surprise me. I'll start with the advertising number, and John can add here. The business model is changing. I think that's the headline. We've got a business that's becoming increasingly digital. The eCom",348,"Bob, you got one and you want both. That doesn't surprise me. I'll start with the advertising number, and John can add here. 
The business model is changing. I think that's the headline. We've got a business that's becoming increasingly digital. The eCommerce business, first party, third party is growing. It gives us the opportunity to grow advertising income. It's grown at a fast rate, and it's growing across markets. 
The U.S. is important in that number, but India, Mexico and other markets are going to have growth there, too. And the margins are helpful. They help us keep prices low for customers, and they help us deliver the operating income number percentage. So we're excited about what the future looks like as it relates to the growth of the advertising business.  
We're not going to share Walmart+ yet. I don't really want to have the company defined by one metric. And with subscriptions being such a topic these days, everybody gets really focused on that. Walmart is always going to be a business where you need to look across and see how the omnichannel business is playing out. There are going to be times when eCommerce grows faster than stores. And as we've seen recently, stores are attractive during certain periods of time. 
Walmart+ is important. It helps us grow our eCommerce business. It helps us deepen the relationship with customers and have more data. And at some point, we'll probably talk about that number. 
And by the way, there are other types of memberships, not just in Sam's Club across the world but in some of our other businesses, too, that are growing. So I think there'll probably be a number of membership-type metrics over time that you'll want to keep an eye on, but I don't think it would be good if we're going to get overly focused on Walmart+. Our ability to serve people with pickup and delivery has improved as we've made these investments. It's one of the reasons why we continue to tell you how much capacity we're growing to do that."
